date,game_size,match_id,match_mode,party_size,player_assists,player_dbno,player_dist_ride,player_dist_walk,player_dmg,player_kills,player_name,player_survive_time,team_id,team_placement
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,444.7796,0,0,JoeyGames123,5.607216666666668,37,31
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,1,0.0,537.9968,124,1,KeyBoardSucker,4.88045,37,31
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,578.5747,24,0,Chefraykwon,9.305233333333332,38,27
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,1497.04932,71,0,CytricS,9.305166666666667,38,27
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,1,1,2319.07251,1772.9348100000002,144,1,Zaerki,26.230583333333335,39,9
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,2306.78271,1956.62646,55,1,FumaKT,26.230666666666664,39,9
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,2266.167,883.9554,1,0,Killertofu1987,23.39715,43,12
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,1539.77234,1518.98328,46,0,Sircool,23.397066666666664,43,12
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,1,2,586.986145,3760.31,218,3,SlashTheSoviet,27.747416666666666,46,7
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,1,2,353.071,3646.13965,476,4,Cruz914,29.16825,46,7
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,2275.223,119,0,LJLCC,15.986516666666667,48,22
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,2199.581,24,0,MingXiaoYa,15.986600000000001,48,22
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,0.0,0,0,WangZhengWei666,13.3642,50,35
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,0.0,0,0,990906max,13.347833333333334,50,35
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,528.386963,108.830986,20,0,Mstrshake01,5.096183333333333,3,32
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,551.524231,238.410522,61,0,BruteSlayer99,5.096216666666667,3,32
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,2284.52344,0,0,ThatsOneMadman,18.18845,6,14
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,2,0.0,2594.24927,344,2,pretzelboss,22.4902,6,14
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,1,3316.71,1669.84058,170,2,Lepore24,30.375866666666663,18,6
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,3298.972,1350.44287,100,1,Reboke,29.1807,18,6
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,413.8818,0,0,PsychoticOtter,6.3762,23,29
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,396.32312,43,0,Kenallai,6.695083333333333,23,29
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,1822.52844,2282.25879,10,1,captainterrenc3,26.171400000000002,27,10
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,1,1,1780.6164600000002,2187.4970000000003,238,1,Dexter2003,26.171299999999995,27,10
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,102.174828,17,0,Riyyaaaaa,3.9052333333333333,34,33
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,0.0,0,0,CityOfStarYFQ,13.347800000000001,34,33
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,1,0,0.0,647.4725,100,1,TheLnofJake,6.23175,40,30
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,1,0.0,548.989746,120,1,Hairless_Iguana,6.3726,40,30
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,70.85792540000001,0,0,ai_ni_de_fei,1.7642666666666666,42,37
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,54.5513077,0,0,YIiyzq-tT,1.6730166666666666,42,37
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,1,0.0,601.0081,200,2,hqh0808,22.497583333333335,44,28
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,213.221527,0,0,ChinaLXCf,2.9882666666666666,44,28
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,3005.54443,1630.44812,0,0,ItsPickles,21.370333333333335,49,16
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,3625.72119,1413.61389,81,0,FullyWhipCrackin,21.370416666666664,49,16
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,1,0.0,113.825592,88,1,HeJaDaShao,2.7164333333333333,19,35
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,1,0.0,163.68061799999998,105,0,LHErDui,2.7164,19,35
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,1.30789614,0,0,ConnorSiebs,1.2942,20,36
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,1,0.0,67.4803,196,2,Andjgm,2.0378333333333334,20,36
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,390.6871,413.072937,0,0,dopefilipino,14.764050000000001,30,28
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,416.560181,270.9108,0,0,Appletoss,5.131916666666667,30,28
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,3,0.0,2865.3147,526,5,FetusMunch4000,22.194683333333334,35,15
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,1,1,0.0,1655.58484,156,1,fetusmuncher4001,14.7349,35,15
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,2,3131.99243,2527.9570000000003,487,4,Maerkk,36.36638333333334,36,1
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,2,2,2320.16479,3132.213,422,2,Supertasks,36.36638333333334,36,1
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,1,0.0,743.8507,94,1,Linkraal,9.194966666666666,45,28
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,0.0,773.959839,33,0,Chumbe,7.901633333333334,45,28
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,0,4078.597,3220.901,80,0,pananm55-,26.778233333333333,11,8
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,2,3551.8886700000003,3390.2614700000004,350,3,LPL-buibuibui,27.661716666666667,11,8
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,1,0,1359.64771,2461.157,61,0,Cinnamon-_,16.149416666666667,28,21
2017-11-26,37,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,tpp,2,0,1,1383.5476099999998,2696.691,63,1,jackomino,16.149483333333333,28,21
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,1,1,659.240967,1721.58,203,2,saver12138,15.081666666666667,2,21
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,642.7572,1889.31848,0,0,krisns,15.084249999999999,2,21
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,2277.78564,2347.7307100000003,81,0,the49ersguy,22.547050000000002,3,10
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,2281.09668,2420.6438,99,1,BIGSEX,22.522283333333338,3,10
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,1,2652.30835,2374.72168,182,2,aLinqqqqq,18.204533333333334,6,18
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,1,0,2651.39771,2204.01416,101,1,sdTWTbs,16.951516666666667,6,18
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,0.0,220.858765,103,0,sapoww,3.2236333333333334,9,38
